प्रश्न,विकल्प A,विकल्प B,विकल्प C,विकल्प D,सही उत्तर,Level
"रिक्त स्थान की पूर्ति करें: ""मेल मिलाप बढ़ावें हम सब, ______ का करें प्रसार।।""",व्यापार,कलह,धर्मोन्नति,राजनीति,3,Medium
सुख-दुख में साधक क्या धारण करने की प्रार्थना करते हैं?,विषमता,राग-द्वेष,समता,हर्ष-विषाद,3,Medium
"""रहें अचल जिमी सदा अटल।"" - यहाँ किसकी तरह अचल रहने की बात है?",पानी की तरह,वायु की तरह,पृथ्वी की तरह,अग्नि की तरह,3,Hard
किस मार्ग को लेश मात्र भी न त्यागने की बात कही गयी है?,अधर्म मार्ग,अन्याय मार्ग,न्याय मार्ग,कुमार्ग,3,Medium
"रिक्त स्थान की पूर्ति करें: ""वृद्धि करें निज ______ बल।।""",शरीर,धन,कुटुम्ब,आतम,4,Medium
"अष्ट कर्म दुःख के हेतु हैं, अतः उनके क्षय के लिए क्या करने को कहा गया है?",उपाय,पूजा,दान,तप,1,Medium
निरंतर किसका नाम जपने से विघ्न और शोक टल जाते हैं?,गुरु का,माता-पिता का,आपका (प्रभु का),मित्र का,3,Easy
"रिक्त स्थान की पूर्ति करें: ""आतम शुद्ध हमारा होवे, पाप मैल नहिं चढ़े ______।""",कभी,सदा,कदा,हमेशा,3,Medium
प्रार्थना में किस विद्या की उन्नति और किस ज्ञान के बढ़ने की कामना की गई है?,भौतिक विद्या और सांसारिक ज्ञान,कला की विद्या और संगीत का ज्ञान,विद्या और धर्म ज्ञान,राजनीति विद्या और अर्थ का ज्ञान,3,Medium
"प्रार्थना के अंत में भविजन हाथ जोड़कर, शीश नवाकर कहाँ आन पड़े हैं?",गुरु के पास,मंदिर में,चरण-शरण में,घर में,3,Easy
"""ज्ञान भानु का उदय करो"" का क्या अर्थ है?",सूर्योदय कर दो,ज्ञान रूपी सूर्य का प्रकाश करो,चंद्रमा को उगाओ,दीपक जलाओ,2,Medium
इस प्रार्थना का मुख्य भाव क्या है?,केवल धन मांगना,आत्म-कल्याण और सद्गुणों की याचना,केवल मोक्ष मांगना,सांसारिक सुख मांगना,2,Medium
"रिक्त स्थान की पूर्ति करें: ""अति पुण्य उदय मम आया, प्रभु तुमरा ______ पाया।""",दर्शन,नाम,धाम,शासन,1,Easy
प्रभु को जाने बिना और अपने गुणों को हानि पहुंचाकर क्या पाये?,सुख,आनंद,दुःख,मोक्ष,3,Easy
अनंत दुःख क्यों पाए?,जगत को पराया जानकर,जगत को निज जानकर,जगत को असार जानकर,जगत को क्षणभंगुर जानकर,2,Medium
"रिक्त स्थान की पूर्ति करें: ""सर्वज्ञ भाषित जगत हितकर, धर्म नहिं ______ कर॥""",पहिचान,त्याग,मान,जान,1,Medium
किसमें सुख मानकर भव के बंधन को बढ़ाने वाले कार्य किये?,निज-स्वरूप में,परोपकार में,विषय में,स्वाध्याय में,3,Medium
"रिक्त स्थान की पूर्ति करें: ""निजपर विवेचक ज्ञानमय, सुखनिधि सुधा नहिं ______कर॥""",दान,मान,पान,ध्यान,3,Hard
प्रभु के पद हृदय में आने से क्या भाग गया?,धन,मित्र,कुमति विमोह,ज्ञान,3,Medium
रुचि किसके हित में लगी और मन कहाँ लगा?,"पर के हित में, कुसंग में","आत्म के हित में, सत्संग में","धन के हित में, व्यापार में","जगत के हित में, राजनीति में",2,Medium
"रिक्त स्थान की पूर्ति करें: ""प्रिय वचन की हो टेव, गुणीगण गान में ही चित ______।""",भगै,लगै,पगै,जगै,3,Hard
किसके नित्य मनन से मन दोषों के वाद-विवाद से भाग जाता है?,कुशास्त्र के,उपन्यास के,शुभ शास्त्र के,समाचार पत्र के,3,Medium
कवि कब दिगम्बर रूप धारण करने की भावना भाते हैं?,"जब समता उर में लाकर, द्वादश अनुप्रेक्षा भाकर, ममतामय भूत भगाकर वन जायेंगे",जब धनवान बन जायेंगे,जब बूढ़े हो जायेंगे,जब सब मित्र साथ छोड़ देंगे,1,Hard
दिगंबर रूप धरकर कितने गुणों का पालन करने की बात कही गई है?,छत्तीस गुण,अट्ठाईस गुण,दस गुण,आठ गुण,2,Medium
"रिक्त स्थान की पूर्ति करें: ""दो-बीस परिषह सह सदा, शुभ धर्म दस ______ करूँ॥""",पालन,त्याग,धारण,देखन,3,Hard
बारह प्रकार के तप को तपकर कवि क्या दूर करना चाहते हैं?,बंध और आस्रव,पुण्य और पाप,भूख और प्यास,निद्रा और प्रमाद,1,Medium
नूतन कर्म को रोककर और संचित कर्मों की निर्जरा करके किस शत्रु का नाश करने की बात है?,मोह शत्रु,काम शत्रु,कर्म रिपु (शत्रु),क्रोध शत्रु,3,Medium
"रिक्त स्थान की पूर्ति करें: ""कब धन्य सुअवसर पाऊँ, जब निज में ही ______ जाऊँ।""",खो,रम,सो,बस,2,Medium
कवि कौन सा भेद मिटाने की बात कर रहे हैं?,अमीर-गरीब का भेद,स्त्री-पुरुष का भेद,कर्तादिक भेद,जाति-पाति का भेद,3,Hard
आत्मा को निर्मल करके कवि क्या आचरण करना चाहते हैं?,क्षायिक सम्यक्त्व,क्षायिक ज्ञान,क्षायिक दान,क्षायिक चारित्र,4,Hard
"रिक्त स्थान की पूर्ति करें: ""आनन्दकन्द जिनेन्द्र बन, ______ को नित उच्चरूँ।""",मौन,उपदेश,भजन,मंत्र,2,Medium
कवि 'अमर' अंत में किस दुःखद सागर को पार करने की कामना करते हैं?,भवसागर,ज्ञानसागर,संसार सागर,दुःख सागर,1,Medium
"रिक्त स्थान की पूर्ति करें: ""मिथ्यातम नाशवे को, ज्ञान के ______ को,""",प्रकाशवे,अंधकारवे,मिटावे,जगावे,1,Easy
आपा-पर (स्व-पर) को दर्शाने के लिए जिनवाणी को किसके समान बताया गया है?,चन्द्र-सी,दीपक-सी,भानु-सी (सूर्य-सी),तारे-सी,3,Medium
जिनवाणी कितने द्रव्यों और बंध की विधि को जानने में सहायक है?,एक द्रव्य,चार द्रव्य,पाँच द्रव्य,छहों द्रव्य,4,Medium
"रिक्त स्थान की पूर्ति करें: ""स्व-पर पिछानवे को, परम ______ है ॥""",प्रमानी,कहानी,निशानी,जुबानी,1,Medium
जिनवाणी भव्य जीवों के उर (हृदय) में क्यों आती है?,उन्हें सताने के लिए,उन्हें सुलाने के लिए,काहू न सतायवे को (किसी को न सताने के लिए),उन्हें रुलाने के लिए,3,Medium
यह जिनवाणी कहाँ से पार उतारने वाली है?,नदी से,भवसागर से,पहाड़ से,रेगिस्तान से,2,Medium
"रिक्त स्थान की पूर्ति करें: ""सुख विस्तारवे को, ये ही ______ है ॥""",शिववाणी,देववाणी,जिनवाणी,गुरुवाणी,3,Easy
"दोहे के अनुसार, जो जिनवाणी की शरण ग्रहण करता है, वह क्या पाता है?",दुःख और क्लेश,धन और संपत्ति,सुख और चैन,मान और सम्मान,3,Easy
"""जा वाणी के ज्ञान तैं, सूझे लोकालोक"" - इस पंक्ति का क्या अर्थ है?",जिस वाणी के ज्ञान से नींद आती है,जिस वाणी के ज्ञान से लोक और अलोक सब दिखाई देता है,जिस वाणी से सिर्फ यह लोक दिखता है,जिस वाणी से कुछ नहीं दिखता,2,Medium
स्तुति के अंत में कवि उस वाणी को सदा क्या करने की बात करते हैं?,उसे पूजते हैं,उसे पढ़ते हैं,उसे मस्तक पर नमन करते हैं (ढोक देते हैं),उसे गाते हैं,3,Easy
जिनवाणी को 'परम प्रमानी' क्यों कहा गया है?,क्योंकि वह बहुत पुरानी है,क्योंकि वह प्रामाणिक है और सत्य का निरूपण करती है,क्योंकि वह कवियों द्वारा रचित है,क्योंकि वह सुनने में अच्छी लगती है,2,Hard
"रिक्त स्थान की पूर्ति करें: ""अनुभव बतायवे को, जीव के ______ को,""",जतायवे,सुलायवे,भगायवे,हँसायवे,1,Medium
जिनवाणी का एक प्रमुख कार्य क्या बताया गया है?,अनुभव बताना,कथा सुनाना,इतिहास बताना,मनोरंजन करना,1,Medium
'जहाँ-तहाँ तारवे को' का क्या आशय है?,हर जगह से उद्धार करने को,हर जगह घुमाने को,नाव से तारने को,सिर्फ एक स्थान पर तारने को,1,Medium
"दोहे के अनुसार, कवि दिन-रात किसे जपने की बात करते हैं?",देव को,गुरु को,"हे जिनवाणी भारती, तोहि (तुम्हें)",शास्त्र को,3,Easy
जिनवाणी रूपी नदी किस पर्वत से निकली है?,सुमेरु पर्वत से,कैलाश पर्वत से,वीर-हिमाचल से,विंध्याचल से,3,Medium
यह नदी किसके मुख-कुंड में गिरी?,महावीर स्वामी के,ऋषभदेव के,गुरु-गौतम के,कुंदकुंद स्वामी के,3,Medium
"रिक्त स्थान की पूर्ति करें: ""मोह-महाचल भेद चली, जग की ____-तप दूर करी है ।।""",अज्ञानता,मूर्खता,जड़ता,निर्धनता,3,Hard
यह जिनवाणी रूपी नदी किस महासागर में जा मिली?,भव-सागर में,ज्ञान-पयोनिधि में,क्षीर-सागर में,प्रशांत-महासागर में,2,Medium
इस नदी में कैसी तरंगें उछल रही हैं?,बहुभंग-तरंगनि (नयों की तरंगें),जल की तरंगें,वायु की तरंगें,प्रकाश की तरंगें,1,Hard
कवि उस शुचि-शारद गंगा नदी को किस प्रकार शीश पर धारण करते हैं?,हाथ में लेकर,अंजली बनाकर,डुबकी लगाकर,पान करके,2,Medium
"रिक्त स्थान की पूर्ति करें: ""या जग-मन्दिर में अनिवार, ______-अंधेर छ्यौ अति भारी।""",मोह,माया,लोभ,अज्ञान,4,Medium
श्री जिन की ध्वनि (वाणी) को किसके समान प्रकाश करने वाली बताया गया है?,सूर्य-सम,चन्द्र-सम,दीपशिखा-सम,तारे-सम,3,Medium
यदि जिनवाणी रूपी दीपशिखा न होती तो क्या होता?,हम पदार्थों को नहीं जान पाते और अविचारी रहते,हम बहुत ज्ञानी होते,हम सुखी रहते,हम देव बन जाते,1,Hard
"रिक्त स्थान की पूर्ति करें: ""या विधि सन्त कहैं धनि हैं, धनि हैं, जिन-बैन बड़े ____ ।।।""",हितकारी,उपकारी,चमत्कारी,सुखकारी,2,Medium
'वीर-हिमाचल' में 'वीर' शब्द किसके लिए प्रयुक्त हुआ है?,किसी वीर पुरुष के लिए,भगवान महावीर के लिए,गौतम गणधर के लिए,हिमालय पर्वत के लिए,2,Medium
'ज्ञान-पयोनिधि' का क्या अर्थ है?,ज्ञान रूपी नदी,ज्ञान रूपी बादल,ज्ञान रूपी समुद्र,ज्ञान रूपी घड़ा,3,Hard
'बहुभंग-तरंगनि' से क्या तात्पर्य है?,बहुत सारी लहरें,नय और भंग रूपी तरंगें,बहुत सारे टूटे हुए टुकड़े,बहुत सारे रास्ते,2,Hard
कवि ने जिन-वचन (जिन-बैन) को 'बड़े उपकारी' क्यों कहा है?,क्योंकि वे संसार का मार्ग दिखाते हैं,क्योंकि वे अज्ञान का अन्धकार मिटाकर पदार्थों का ज्ञान कराते हैं,क्योंकि वे धन-दौलत देते हैं,क्योंकि वे सुनने में मधुर लगते हैं,2,Medium
इस स्तुति में जिनवाणी की तुलना किन दो चीजों से की गई है?,गंगा नदी और दीपशिखा,सूर्य और चन्द्रमा,कमल और गुलाब,वीणा और बांसुरी,1,Hard
मंगलाचरण में कैसे जिनेन्द्र को जयवंत कहा गया है जो सभी ज्ञेयों के ज्ञाता हैं?,सकल ज्ञेय ज्ञायक,निजानन्द-रस-लीन,अरि-रज-रहस विहीन,उपरोक्त सभी,4,Medium
"रिक्त स्थान की पूर्ति करें: ""जय वीतराग विज्ञान पूर,जय मोह-तिमिर को हरन ______।""",चंद,दीप,सूर,तार,3,Medium
जिनेन्द्र देव किन अनंतानंत गुणों से मंडित हैं?,"ज्ञान, दर्शन, सुख, वीर्य","दान, लाभ, भोग, उपभोग","क्षमा, मार्दव, आर्जव, शौच","मति, श्रुत, अवधि, मनःपर्यय",1,Hard
जिनेन्द्र की परम शांत मुद्रा किसलिए है?,जगत को डराने हेतु,भवि-जन को निज अनुभूति हेतु,अपनी शक्ति दिखाने हेतु,देवों को प्रसन्न करने हेतु,2,Medium
"रिक्त स्थान की पूर्ति करें: ""भविभागन वश जोगे वशाय, तुम धुनि ह्वै सुनि ______ नशाय॥""",मोह,राग,विभ्रम,क्लेश,3,Hard
जिनेन्द्र के गुणों का चिंतन करने से क्या प्रगट होता है और क्या विघटित होता है?,"निज-पर-विवेक प्रगटै, आपद अनेक विघटैं","आपद अनेक प्रगटै, निज-पर-विवेक विघटैं","धन प्रगटै, निर्धनता विघटैं","सुख प्रगटै, दुःख विघटैं",1,Medium
"""तुम जगभूषण दूषण-विमुक्त"" का क्या अर्थ है?",तुम जगत के आभूषण हो और आभूषणों से रहित हो,तुम जगत के भूषण हो और दोषों से रहित हो,तुम जगत के दोष हो और भूषणों से युक्त हो,तुम जगत से विमुक्त हो,2,Medium
जिनेन्द्र देव कितने दोषों से रहित कहे गए हैं?,आठ,बारह,दस,अठारह,4,Medium
"""स्वचतुष्टयमय राजत गंभीर"" - यहाँ 'स्वचतुष्टय' से क्या तात्पर्य है?","अनंत दर्शन, ज्ञान, सुख, वीर्य","सम्यक् दर्शन, ज्ञान, चारित्र, तप","दान, शील, तप, भाव","मति, श्रुत, अवधि, मनःपर्यय ज्ञान",1,Hard
"रिक्त स्थान की पूर्ति करें: ""तुम शासन सेय अमेय जीव, शिव गये जाहिं जैहैं ______।""",सदीव,कभी,अब,तब,1,Medium
कवि के अनुसार भव-सागर से तारने के लिए जिनेन्द्र के अलावा दूसरा कौन है?,गुरु,माता-पिता,मित्र,और न आप टारि (आपके अलावा कोई नहीं),4,Medium
यह सब देखकर कवि जिनेन्द्र की शरण में क्यों आये हैं?,धन-संपत्ति के लिए,निज दु:खगद-हरण-काज (अपने दुखों को हरने के लिए),यश-कीर्ति के लिए,स्वर्ग पाने के लिए,2,Medium
"रिक्त स्थान की पूर्ति करें: ""मैं भ्रम्यों अपनपो विसरि आप, अपनाये विधि-फल ______ |""",पुण्य-पाप,सुख-दुःख,राग-द्वेष,हानि-लाभ,1,Medium
जीव ने अज्ञानता के कारण किसे किसका कर्ता मान लिया?,"निज को पर का, पर को निज का",केवल निज को निज का,केवल पर को पर का,किसी को किसी का नहीं,1,Hard
जीव की दशा किसके समान हो गई जो मृगतृष्णा को जल समझता है?,सिंह के समान,हाथी के समान,मृग के समान,हंस के समान,3,Medium
"रिक्त स्थान की पूर्ति करें: ""तन-परिणति में आपो चितार, कबहूँ न अनुभवो ______ सार॥""",पर-पद,गुरु-पद,स्व-पद,देव-पद,3,Hard
अब किसके बल से जिनेन्द्र का दर्शन पाकर कवि खुश हुए?,पुरुषार्थ बल से,धन बल से,काललब्धि बल से,भाग्य बल से,3,Medium
जिनेन्द्र के दर्शन से मन कैसा हो गया और क्या मिट गया?,"अशांत हो गया, द्वंद्व बढ़ गया","शांत भयो, मिटि सकल द्वन्द्व","चंचल हो गया, कुछ नहीं मिटा","दुःखी हो गया, क्लेश बढ़ गया",2,Easy
"रिक्त स्थान की पूर्ति करें: ""चाख्यो स्वातमरस ______।""",सुखदायक,आनंदकंद,दु:खनिकंद,अमृतमय,3,Medium
कवि प्रभु से क्या प्रार्थना करते हैं कि कभी न बिछुड़े?,आपका धन,आपका धाम,आपका चरण साथ,आपका नाम,3,Easy
कवि अपनी परिणति को कहाँ नहीं जाने देना चाहते हैं?,आत्मा के हित में,आत्मा के अहित विषय कषाय में,ध्यान में,स्वाध्याय में,2,Medium
"रिक्त स्थान की पूर्ति करें: ""मेरे न चाह कछु और ईश, ______-निधि दीजे मुनीश।""",नवनिधि,सुखनिधि,ज्ञाननिधि,रत्नत्रय,4,Hard
कवि के अनुसार दुःख रूपी समुद्र से पार उतारने के लिए जिनेन्द्र किसके समान हैं?,नाव,पतवार,जिहाज (जहाज),तैराक,3,Medium
"""तुम गुणगण-मणि गणपति, गणत न पावहिं पार"" - इस पंक्ति में 'गणपति' (गणधर) भी किसके गुणों का पार नहीं पा सकते?",शिव के,ब्रह्मा के,आपके (जिनेन्द्र के),विष्णु के,3,Hard
कवि 'दौल' अपनी स्वल्प-मति (थोड़ी बुद्धि) के कारण अंत में क्या करते हैं?,स्तुति बंद कर देते हैं,और स्तुति करते हैं,त्रियोग सम्हार कर नमस्कार करते हैं,चुप हो जाते हैं,3,Medium
"रिक्त स्थान की पूर्ति करें: ""द्रव्य रूप करि सर्व थिर, परजय थिर है ______ ।""",कौन,कौनहु,कोनो,कोन,1,Medium
द्रव्य दृष्टि से किसे देखने को कहा गया है?,पर को,आपा (आत्मा) को,जगत को,कर्म को,2,Medium
जगत में शरण के योग्य कितने बताये गए हैं?,एक (शुद्धात्म),दो (शुद्धात्म और पंच गुरु),"तीन (देव, शास्त्र, गुरु)",पाँच (पंच परमेष्ठी),2,Hard
"रिक्त स्थान की पूर्ति करें: ""मोह-उदय जिय के वृथा, आन ______ होय ।।।""",कल्पना,भावना,चेतना,वेदना,1,Medium
अबोधि (अज्ञान) संसार का कारण क्या है?,पर द्रव्यन तें प्रीति,निज द्रव्य से प्रीति,दान देना,तप करना,1,Medium
पर द्रव्यों से प्रीति का फल क्या बताया गया है?,मोक्ष,स्वर्ग,चार गति में भ्रमण,मनुष्य गति,3,Medium
"रिक्त स्थान की पूर्ति करें: ""परमारथ तैं आत्मा, एक रूप ही ______।""",जोय,सोय,होय,खोय,1,Hard
आत्मा में अनेक विकल्प किसके निमित्त से होते हैं?,ज्ञान के निमित्त,दर्शन के निमित्त,मोह के निमित्त,चारित्र के निमित्त,3,Medium
जीव कब पर-पदार्थों से ममत्व नहीं करता?,जब वह सोता है,जब वह जानता है कि सभी वस्तुएं अपने-अपने सत्त्व में विलास करती हैं,जब वह खाता है,जब वह घूमता है,2,Hard
"रिक्त स्थान की पूर्ति करें: ""निर्मल अपनी आत्मा, देह ______ गेह।""",पावन,अपावन,सुन्दर,स्वच्छ,2,Easy
भव्य जीव को देह से स्नेह क्यों त्यागने को कहा गया है?,क्योंकि आत्मा निर्मल है और देह अपावन है,क्योंकि देह नश्वर है,क्योंकि देह रोग का घर है,उपरोक्त सभी,4,Medium
निश्चय दृष्टि से आत्मा को कैसा देखने को कहा गया है?,कर्ममय,शरीरमय,केवल ज्ञानमय,रागमय,3,Medium
"रिक्त स्थान की पूर्ति करें: ""सब विभाव परिणाममय, ______ विडार ।।।""",पुण्यभाव,पापभाव,आस्रवभाव,संवरभाव,3,Medium
निश्चय संवर किसे कहा गया है?,"समिति, गुप्ति का पालन",शुभ भावों का होना,निजस्वरूप में लीनता,व्रत उपवास करना,3,Hard
पाप की हानि के लिए व्यवहार में क्या धारण करने को कहा है?,"समिति, गुप्ति, संजम, धरम","दान, पूजा, भक्ति","ध्यान, स्वाध्याय","दया, क्षमा, संतोष",1,Medium
"रिक्त स्थान की पूर्ति करें: ""संवरमय है आत्मा, पूर्व कर्म ______ जाय।""",बंध,झड़,लग,उदय,2,Medium
निजस्वरूप को पाकर आत्मा कहाँ ठहरता है?,मध्य लोक में,अधो लोक में,ऊर्ध्व लोक में,लोक शिखर पर,4,Medium
लोक के स्वरूप का विचार करके और आत्मरूप को निहारकर क्या निवारण करने को कहा है?,पुण्य भाव,पाप भाव,मिथ्याभाव,शुभ भाव,3,Medium
"रिक्त स्थान की पूर्ति करें: ""बोधि आपका भाव है, निश्चय दुर्लभ ______।""",आहि,पाहि,नाहिं,चाहि,3,Hard
व्यवहार से संसार में किसकी प्राप्ति कठिन कही गई है?,धन की,बोधि (सम्यग्ज्ञान) की,स्त्री की,पुत्र की,2,Medium
आत्मा का धर्म क्या बताया गया है?,राग-द्वेष,दर्श-ज्ञानमय चेतना,खाना-पीना,घूमना-फिरना,2,Medium
आत्मा के चेतना धर्म में क्या गर्भित (शामिल) है?,"दया, क्षमा",रत्नत्रय,"दान, शील",उपरोक्त सभी,2,Hard
'परजय नय करि गौन' का क्या अर्थ है?,पर्याय की दृष्टि को मुख्य करना,पर्याय की दृष्टि को गौण करना,पर्याय को देखना,पर्याय को जानना,2,Hard
'श्रुत शोध' का क्या अर्थ है?,शास्त्रों को खोजना,शास्त्रों का संशोधन करना,शास्त्रों में खोजकर कहा है,शास्त्रों को पढ़ना,3,Hard
मोह के नाश होने पर जीव को क्या प्राप्त होता है?,शिव (मोक्ष),स्वर्ग,राजपाट,चक्रवर्ती पद,1,Medium
"रिक्त स्थान की पूर्ति करें: ""केवल-रवि-किरणों से जिसका, सम्पूर्ण प्रकाशित है ______|""",बाह्य,ऊपर,नीचे,अंतर,4,Medium
श्री जिनवाणी में किसका सुन्दरतम दर्शन होता है?,विश्व का,तत्वों का,भविष्य का,भूतकाल का,2,Easy
कौन सद्दर्शन-बोध-चरण-पथ पर अविरल बढ़ते हैं?,देवगण,मुनिगण,श्रावकगण,मनुष्यगण,2,Medium
आह्वान मंत्र में किसे अत्र (यहाँ) अवतरित होने के लिए कहा गया है?,श्री देवशास्त्रगुरु समूह को,केवल देव को,केवल शास्त्र को,केवल गुरु को,1,Easy
"जल अर्घ्य में, इन्द्रिय के भोग को किसके समान बताया गया है?",अमृत सम,मधुर विष सम,शहद सम,शक्कर सम,2,Medium
"रिक्त स्थान की पूर्ति करें: ""मैं भूल स्वयं के वैभव को, ______ में अटकाया हूँ ।""",पर-ममता,निज-ममता,धन-ममता,कुल-ममता,1,Medium
निर्मल सम्यक्-नीर (जल) लेकर क्या धोने की बात कही गई है?,शरीर का मैल,वस्त्रों का मैल,मिथ्यामल,कर्ममल,3,Hard
"चन्दन अर्घ्य के अनुसार, 'यह झूठी मन की वृत्ति है' - क्या?",जड़-चेतन की परिणति,अनुकूल-प्रतिकूल कहना,सुख-दुःख का वेदन,लाभ-हानि का विचार,2,Medium
"रिक्त स्थान की पूर्ति करें: ""संतप्त-हृदय प्रभु! ______-सम, शीतलता पाने आया है||""",जल,बर्फ,नीर,चंदन,4,Easy
"अक्षत अर्घ्य में, चेतन किस पर झुक-झुक जाता है और किसे अपनाता है?",निज वैभव को,अक्षय निधि को,सिद्ध पद को,"जड़ पर, नश्वर वैभव को",4,Medium
कवि अपनी शाश्वत अक्षय निधि पाने के लिए कहाँ आये हैं?,गुरु के पास,दास चरण रज में,मंदिर में,तीर्थ पर,2,Medium
"रिक्त स्थान की पूर्ति करें: ""उज्ज्वल हूँ कुंद-धवल हूँ प्रभु! पर से न लगा हूँ ______ भी|""",किंचित्,बहुत,थोड़ा,अणुमात्र,1,Hard
"पुष्प अर्घ्य में, कवि अपने अंतर के किस दोष की बात करते हैं?",क्रोध का लेश नहीं है,मान का लेश नहीं है,माया का लेश नहीं है,ऋजुता (सरलता) का लेश नहीं है,4,Hard
